time,ax,ay,az,ax_g,ay_g,az_g,rot_x,rot_y,rot_,heart
12:37:18:48,,,,3.6466617584228516,3.9768712520599365,7.992027282714844,1.1200000047683716,-5.53000020980835,-5.809999942779541,0.0
12:37:18:61,2.3338634967803955,2.5451974868774414,5.114897727966309,3.6466617584228516,3.9768712520599365,7.992027282714844,-3.9200000762939453,2.6600000858306885,-0.9100000262260437,0.0
12:37:18:83,1.8862330913543701,2.193127155303955,4.202944755554199,3.6705896854400635,4.1730828285217285,8.130810737609863,-2.799999952316284,2.5899999141693115,-1.399999976158142,0.0
12:37:18:122,1.447730541229248,1.6339030265808105,3.3030142784118652,3.594019651412964,4.022334575653076,8.056633949279785,-1.6800000667572021,1.4700000286102295,-1.4700000286102295,0.0
12:37:18:162,1.2117836475372314,1.335836410522461,2.651982307434082,3.6610186100006104,4.058227062225342,8.068597793579102,-0.9100000262260437,0.9100000262260437,-1.4700000286102295,0.0
12:37:18:203,0.9234843254089355,0.9901845455169678,2.0947861671447754,3.603590488433838,3.9601213932037354,8.0350980758667,-1.399999976158142,0.2800000011920929,-1.6100000143051147,0.0
12:37:18:247,0.7809014320373535,0.8112902641296387,1.738999366760254,3.6562328338623047,3.9840497970581055,8.11406135559082,-0.2800000011920929,0.9100000262260437,-2.240000009536743,0.0
12:37:18:287,0.6304640769958496,0.7217738628387451,1.328028678894043,3.6634113788604736,4.074976921081543,8.0350980758667,-0.2800000011920929,-0.07000000029802322,-1.3300000429153442,0.0
12:37:18:328,0.4737429618835449,0.5295624732971191,1.0777373313903809,3.6251261234283447,4.015156269073486,8.054241180419922,-0.5600000023841858,0.9100000262260437,-2.6600000858306885,0.0
12:37:18:372,0.4057943820953369,0.4695923328399658,0.8564472198486328,3.658626079559326,4.07258415222168,8.047062873840332,0.8400000333786011,0.3499999940395355,-4.619999885559082,0.0
12:37:18:408,0.3322923183441162,0.41970157623291016,0.771298885345459,3.6681969165802,4.127618789672852,8.154739379882812,-1.2599999904632568,0.9100000262260437,-1.6800000667572021,0.0
12:37:18:460,0.22180604934692383,0.3032193183898926,0.5768399238586426,3.613162040710449,4.086941242218018,8.104490280151367,-1.6100000143051147,1.190000057220459,-2.0999999046325684,0.0
12:37:18:487,0.15830230712890625,0.2368323802947998,0.40787220001220703,3.589233875274658,4.0797624588012695,8.037490844726562,0.21000000834465027,0.5600000023841858,-2.309999942779541,0.0
12:37:18:540,0.09601378440856934,0.21626567840576172,0.44498205184936523,3.5509488582611084,4.113262176513672,8.185846328735352,-0.9100000262260437,1.399999976158142,-1.190000057220459,0.0
12:37:18:578,0.021297216415405273,0.18066930770874023,0.26601505279541016,3.4815566539764404,4.122833251953125,8.073383331298828,-0.9100000262260437,1.190000057220459,-2.1700000762939453,0.0
12:37:18:612,0.07255148887634277,0.052651166915893555,0.21281194686889648,3.5509488582611084,4.0079779624938965,8.073383331298828,-0.6299999952316284,1.190000057220459,-0.6299999952316284,0.0
12:37:18:653,0.019755840301513672,0.06317758560180664,0.2487339973449707,3.5030922889709473,4.034298896789551,8.171488761901855,-0.14000000059604645,-1.190000057220459,2.7300000190734863,0.0
12:37:18:692,0.1268317699432373,0.07734179496765137,0.12433147430419922,3.641876220703125,4.067798614501953,8.078168869018555,1.9600000381469727,-3.5,2.6600000858306885,0.0
12:37:18:732,0.055522918701171875,0.08675909042358398,0.0420379638671875,3.5844480991363525,4.098905563354492,8.00638484954834,0.7699999809265137,-2.0999999046325684,-0.14000000059604645,0.0
